Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
,,,,,,,,,,,,,
Matru ki Bijlee ka Mandola,"
Comedy, Drama            ",5.6,NA,Vishal Bhardwaj,Pankaj Kapur,Imran Khan,Anushka Sharma,Arya Babbar,,,,,
,,,,,,,,,,,,,
Race 2,"
Action, Crime, Thriller            ",5.3,$1.58M,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Anil Kapoor,John Abraham,,,,,
,,,,,,,,,,,,,
Boss,"
Action            ",5.1,NA,Anthony D'Souza,Akshay Kumar,Shiv Panditt,Mithun Chakraborty,Ronit Roy,,,,,
,,,,,,,,,,,,,
Ishkq in Paris,"
Comedy, Romance            ",3.8,NA,Prem Soni,Preity Zinta,Isabelle Adjani,Gaurav Chanana,Shekhar Kapur,,,,,
,,,,,,,,,,,,,
Yamla Pagla Deewana 2,"
Action, Comedy, Drama            ",3.4,NA,Sangeeth Sivan,Dharmendra,Sunny Deol,Bobby Deol,Neha Sharma,,,,,
,,,,,,,,,,,,,
Players,"
Action, Crime, Thriller            ",4.1,NA,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vinod Khanna,Abhishek Bachchan,Bobby Deol,,,,,
,,,,,,,,,,,,,
Chaalis Chauraasi,"
Comedy, Crime            ",6.1,NA,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni,Ravi Kishan,,,,,
,,,,,,,,,,,,,
Ghost,"
Horror            ",2.2,NA,Puja Bedi,Shiney Ahuja,Sayali Bhagat,Julia Bliss,Kristian Hedegaard-Petersen,,,,,
,,,,,,,,,,,,,
Sadda Adda,"
Comedy, Drama, Romance            ",7.1,NA,Muazzam Beg,Karan Sharma,Karanvir Sharma,Shaurya Chauhan,Bhaumik Sampat,,,,,
,,,,,,,,,,,,,
Agneepath,"
Action, Drama            ",6.9,$1.98M,Karan Malhotra,Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,,,,,
,,,,,,,,,,,,,
Gali Gali Chor Hai,"
Comedy, Drama, Family            ",5.1,NA,Rumi Jaffery,Akshaye Khanna,Mugdha Godse,Satish Kaushik,Annu Kapoor,,,,,
,,,,,,,,,,,,,
Staying Alive,"
Drama            ",5.6,NA,Ananth Narayan Mahadevan,Jahangir Khan,Ananth Narayan Mahadevan,Navni Parihar,Chandan Sanyal,,,,,
,,,,,,,,,,,,,
Love You to Death,"
Comedy, Thriller            ",6,NA,Rafeeq Ellias,Sohrab Ardeshir,Abhro Banerjee,Kallol Banerjee,Nicholas Brown,,,,,
,,,,,,,,,,,,,
Ek Main Aur Ekk Tu,"
Comedy, Drama, Romance            ",5.7,$1.15M,Shakun Batra,Kareena Kapoor,Imran Khan,Boman Irani,Zenobia Shroff,,,,,
,,,,,,,,,,,,,
Valentine's Night,"
Romance, Thriller            ",2.7,NA,Baadal,Kirshan Kumar,Shikhi Gupta,Sunny Hinduja,Prabhat Kumar,,,,,
,,,,,,,,,,,,,
Ekk Deewana Tha,"
Drama, Romance            ",5.9,NA,Goutham Vasudev Menon,Prateik,Amy Jackson,Sachin Khedekar,Manu Rishi Chadha,,,,,
,,,,,,,,,,,,,
?: A Question Mark,"
Horror, Mystery, Thriller            ",5.5,NA,Allyson Patel,Yash Dave,Kiran Bhatia,Yaman Chatwal,Maanvi Gagroo,,,,,
,,,,,,,,,,,,,
Married 2 America,"
Thriller            ",4.3,NA,Dilip Shankar,Archana Joglekar,Akhilendra Mishra,Chetan Pandit,Ashok Samarth,,,,,
,,,,,,,,,,,,,
Jodi Breakers,"
Comedy, Musical, Romance            ",3.5,NA,Ashwini Chaudhary,Bipasha Basu,Helen,Pradeep Kharab,Madhavan,,,,,
,,,,,,,,,,,,,
Tere Naal Love Ho Gaya,"
Comedy, Drama, Romance            ",5.8,$0.18M,Mandeep Kumar,Riteish Deshmukh,Genelia D'Souza,Om Puri,Tinnu Anand,,,,,
,,,,,,,,,,,,,
London Paris New York,"
Romance            ",5.7,NA,Anu Menon,Ali Zafar,Aditi Rao Hydari,Candice Pereira,Scherrikar Bell,,,,,
,,,,,,,,,,,,,
Paan Singh Tomar,"
Action, Biography, Crime            ",8.2,$0.04M,Tigmanshu Dhulia,Irrfan Khan,Hemendra Dandotiya,Navneet Gairola,Mahie Gill,,,,,
,,,,,,,,,,,,,
Will You Marry Me,"
Comedy            ",5.2,NA,Aditya Datt,Shreyas Talpade,Rajeev Khandelwal,Mugdha Godse,Muzammil Ibrahim,,,,,
,,,,,,,,,,,,,
Kahaani,"
Mystery, Thriller            ",8.1,$1.04M,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Chaar Din Ki Chandni,"
Comedy, Romance            ",4.1,NA,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,Om Puri,,,,,
,,,,,,,,,,,,,
Say Yes to Love,"
Romance            ",6.2,NA,Mahrukh Mirza,Nazia Hussain,Salim Khan,Aasad Mirza,Saira Mirza,,,,,
,,,,,,,,,,,,,
Akkad Bakkad Bam Be Bo,"
Action            ",7.2,NA,Dweep Raj Kochhar,Ramesh Pandey,Nimay Bali,Rakesh Bedi,Lakshman Chaturvedi,,,,,
,,,,,,,,,,,,,
Zindagi Tere Naam,"
Romance            ",4.7,NA,Ashu Trikha,Mithun Chakraborty,Ranjeeta Kaur,Priyanka Mehta,Ashish Sharma,,,,,
,,,,,,,,,,,,,
Agent Vinod,"
Action, Adventure, Thriller            ",5.1,$0.63M,Sriram Raghavan,Saif Ali Khan,Kareena Kapoor,Adil Hussain,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Blood Money,"
Action, Drama, Thriller            ",5.1,NA,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri,Shekar Shukla,,,,,
,,,,,,,,,,,,,
Bumboo,"
Comedy            ",7.2,NA,Jagdish Rajpurohit,Kavin Dave,Sharat Saxena,Sanjay Mishra,Sarika,,,,,
,,,,,,,,,,,,,
Housefull 2,"
Action, Comedy, Musical            ",5.2,$1.50M,Sajid Khan,Akshay Kumar,John Abraham,Asin,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
Bittoo Boss,"
Romance            ",4.1,NA,Supavitra Babul,Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra,Wamiqa Gabbi,,,,,
,,,,,,,,,,,,,
Chhodo Kal Ki Baatein,"
Drama            ",7.1,NA,Pramod Joshi,Barkha Bisht,Balaji Iyer,Raghavendra Kadkol,Sachin Khedekar,,,,,
,,,,,,,,,,,,,
Ab Hoga Dharna Unlimited,"
Comedy            ",0,NA,Deepak Tanwar,Saurabh Malik,Rekha Rana,Omkar Das Manikpuri,Manoj Bakshi,,,,,
,,,,,,,,,,,,,
Vicky Donor,"
Comedy, Romance            ",7.8,$0.17M,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,,,,,
,,,,,,,,,,,,,
Hate Story,"
Drama, Thriller            ",5.3,NA,Vivek Agnihotri,Nikhil Dwivedi,Gulshan Devaiah,Paoli Dam,Mohan Kapoor,,,,,
,,,,,,,,,,,,,
Tezz,"
Action, Crime, Drama            ",3.9,NA,Priyadarshan,Anil Kapoor,Ajay Devgn,Mohanlal,Kangana Ranaut,,,,,
,,,,,,,,,,,,,
Life Ki Toh Lag Gayi,"
Comedy            ",5.5,NA,Rakesh Mehta,Kay Kay Menon,Ranvir Shorey,Pradhuman Singh,Neha Bhasin,,,,,
,,,,,,,,,,,,,
Jannat 2,"
Crime, Drama, Thriller            ",6.1,NA,Kunal Deshmukh,Emraan Hashmi,Randeep Hooda,Esha Gupta,Mohammed Zeeshan Ayyub,,,,,
,,,,,,,,,,,,,
"Love, Lies and Seeta","
Comedy, Drama, Romance            ",8.1,NA,Chandra Pemmaraju,Melanie Chandra,Arjun Gupta,Lavrenti Lopes,Michael Derek,,,,,
,,,,,,,,,,,,,
Dangerous Ishhq,"
Fantasy, Mystery, Romance            ",3.9,NA,Vikram Bhatt,Karisma Kapoor,Rajniesh Duggall,Divya Dutta,Jimmy Sheirgill,,,,,
,,,,,,,,,,,,,
Department,"
Action, Crime, Thriller            ",3.2,NA,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Chhota Bheem and the Curse of Damyaan,"
Animation, Adventure, Fantasy            ",6.5,NA,Rajiv Chilaka,Jigna Bhardwaj,Chutki,Kaustav Ghosh,Rajesh Kava,,,,,
,,,,,,,,,,,,,
Mr Bhatti on Chutti,"
Comedy            ",4,NA,Karan Razdan,Anupam Kher,Bhairavi Goswami,Amaan Irees,Shakti Kapoor,,,,,
,,,,,,,,,,,,,
Rakhtbeej,"
Thriller            ",3.1,NA,Anil Ballani,Julia Datt,Tinnu Anand,Mansi Dovhal,Jeeva,,,,,
,,,,,,,,,,,,,
Yeh Khula Aasmaan,"
Family            ",6.9,NA,Gitanjali Sinha,Anya Anand,Manjusha Godse,Nitin Kerur,Kishor Nadalskar,,,,,
,,,,,,,,,,,,,
"Love, Wrinkle-free","
Comedy, Drama, Romance            ",6.4,NA,Sandeep Mohan,Ash Chandler,Shernaz Patel,Sohrab Ardeshir,Seema Rahmani,,,,,
,,,,,,,,,,,,,
Rowdy Rathore,"
Action            ",5.7,$0.78M,Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar,Yashpal Sharma,,,,,
,,,,,,,,,,,,,
Shanghai,"
Crime, Mystery, Thriller            ",7.2,NA,Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee,Kalki Koechlin,,,,,
,,,,,,,,,,,,,
Ferrari Ki Sawaari,"
Comedy, Drama, Family            ",6.4,$0.42M,Rajesh Mapuskar,Sharman Joshi,Boman Irani,Ritvik Sahore,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Qasam Se Qasam Se,"
Romance            ",4.6,NA,Ashfaque Makrani,Faith,Farhan,Satish Kaushik,Sandeep Kochar,,,,,
,,,,,,,,,,,,,
Teri Meri Kahaani,"
Comedy, Drama, Romance            ",4.7,$0.67M,Kunal Kohli,Shahid Kapoor,Priyanka Chopra,Prachi Desai,Neha Sharma,,,,,
,,,,,,,,,,,,,
Gangs of Wasseypur,"
Action, Comedy, Crime            ",8.2,NA,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,,,,,
,,,,,,,,,,,,,
Maximum,"
Action, Crime, Drama            ",4.9,NA,Kabeer Kaushik,Sonu Sood,Naseeruddin Shah,Neha Dhupia,Vinay Pathak,,,,,
,,,,,,,,,,,,,
Bol Bachchan,"
Action, Comedy            ",5.5,$1.22M,Rohit Shetty,Amitabh Bachchan,Ajay Devgn,Abhishek Bachchan,Prachi Desai,,,,,
,,,,,,,,,,,,,
3 Bachelors,"
Comedy, Romance            ",3.4,NA,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,Manish Nagpal,,,,,
,,,,,,,,,,,,,
Cocktail,"
Comedy, Drama, Romance            ",6.3,$1.03M,Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Dimple Kapadia,,,,,
,,,,,,,,,,,,,
Gattu,"
Drama            ",7.3,NA,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das,Md. Sohaib,,,,,
,,,,,,,,,,,,,
Challo Driver,"
Comedy            ",6,NA,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,Deepak Arora,,,,,
,,,,,,,,,,,,,
Mere Dost Picture Abhi Baaki Hai,"
Comedy            ",3.5,NA,Rajnish Thakur,Sunil Shetty,Udita Goswami,Rajpal Yadav,Mukesh Ahuja,,,,,
,,,,,,,,,,,,,
Kyaa Super Kool Hain Hum,"
Comedy            ",5,NA,Sachin Yardi,Riteish Deshmukh,Neha Sharma,Tusshar Kapoor,Kavin Dave,,,,,
,,,,,,,,,,,,,
Aalaap,"
Sci-Fi            ",5.8,NA,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Overtime,"
Drama            ",5.2,NA,Ajay Yadav,Frank M. Ahearn,Ramnita Chaudhry,Preeti Chauhan,Divya Dutta,,,,,
,,,,,,,,,,,,,
Jism 2,"
Drama, Thriller            ",3,NA,Pooja Bhatt,Randeep Hooda,Arunoday Singh,Arif Zakaria,Sunny Leone,,,,,
,,,,,,,,,,,,,
Gangs of Wasseypur,"
Action, Comedy, Crime            ",8.2,NA,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,,,,,
,,,,,,,,,,,,,
5 Ghantey Mien 5 Crore,"
Thriller            ",5.2,NA,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,Sameer Khan,,,,,
,,,,,,,,,,,,,
Ek Tha Tiger,"
Action, Romance, Thriller            ",5.5,$2.35M,Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,Roshan Seth,,,,,
,,,,,,,,,,,,,
Shirin Farhad Ki Toh Nikal Padi,"
Romance            ",4.2,NA,Bela Segal,Freny Bhagat,Dinyar Contractor,Nauheed Cyrusi,Kavin Dave,,,,,
,,,,,,,,,,,,,
Joker,"
Comedy, Family, Sci-Fi            ",2.4,$0.13M,Shirish Kunder,Akshay Kumar,Sonakshi Sinha,Shreyas Talpade,Minissha Lamba,,,,,
,,,,,,,,,,,,,
Jalpari: The Desert Mermaid,"
Drama, Family, Mystery            ",7.2,NA,Nila Madhab Panda,Harish Chabbra,Tannishtha Chatterjee,Parvin Dabas,Rajendra Gupta,,,,,
,,,,,,,,,,,,,
From Sydney with Love,"
Comedy, Romance            ",6.2,NA,Prateek Chakravorty,Bidita Bag,Sabyasachi Chakrabarty,Ronjini Chakraborty,Prateek Chakravorty,,,,,
,,,,,,,,,,,,,
I Am 24,"
Comedy, Romance            ",6.1,NA,Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Manjari Fadnnis,,,,,
,,,,,,,,,,,,,
Raaz 3: The Third Dimension,"
Horror, Mystery, Romance            ",4,NA,Vikram Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta,Manish Chaudhary,,,,,
,,,,,,,,,,,,,
Chal Pichchur Banate Hain,"
Comedy, Drama            ",6.3,NA,Pritish Chakraborty,Sagar Bhangade,Mukesh Bhatt,Vipul Bhatt,Manmeet Dhanjal,,,,,
,,,,,,,,,,,,,
Barfi!,"
Comedy, Drama, Romance            ",8.1,$2.80M,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,,,,,
,,,,,,,,,,,,,
Jeena Hai Toh Thok Daal,"
Drama            ",6,NA,Manish Vatssalya,Ravi Kishan,Manish Vatssalya,Yashpal Sharma,Rahul Kumar,,,,,
,,,,,,,,,,,,,
Heroine,"
Drama            ",5.1,$0.59M,Madhur Bhandarkar,Kareena Kapoor,Arjun Rampal,Randeep Hooda,Shahana Goswami,,,,,
,,,,,,,,,,,,,
Kamaal Dhamaal Malamaal,"
Comedy, Drama            ",4.1,NA,Priyadarshan,Shreyas Talpade,Nyra Banerjee,Nana Patekar,Paresh Rawal,,,,,
,,,,,,,,,,,,,
OMG: Oh My God!,"
Comedy, Drama, Fantasy            ",8.2,$0.92M,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Om Puri,,,,,
,,,,,,,,,,,,,
English Vinglish,"
Comedy, Drama, Family            ",7.8,$1.67M,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,,,,,
,,,,,,,,,,,,,
Kismet Love Paisa Dilli,"
Adventure, Comedy, Crime            ",4.2,NA,Sanjay M. Khanduri,Vivek Oberoi,Mallika Sherawat,Neha Dhupia,Anshuman Jha,,,,,
,,,,,,,,,,,,,
Aiyyaa,"
Comedy, Romance            ",4.3,NA,Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant,Subodh Bhave,,,,,
,,,,,,,,,,,,,
Chittagong,"
Action, Drama, War            ",7.2,NA,Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale,Vega Tamotia,,,,,
,,,,,,,,,,,,,
Bhoot Returns,"
Horror, Mystery, Thriller            ",2.5,NA,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma,Nitin Jadhav,,,,,
,,,,,,,,,,,,,
Student of the Year,"
Comedy, Drama, Romance            ",5.4,$0.33M,Karan Johar,Alia Bhatt,Sidharth Malhotra,Varun Dhawan,Rishi Kapoor,,,,,
,,,,,,,,,,,,,
Chakravyuh,"
Action, Drama, Thriller            ",6.8,NA,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,Esha Gupta,,,,,
,,,,,,,,,,,,,
Ajab Gazabb Love,"
Comedy, Romance            ",4.1,NA,Sanjay Gadhvi,Jackky Bhagnani,Nidhi Subbaiah,Darshan Jariwala,Kiron Kher,,,,,
,,,,,,,,,,,,,
Rush,"
Crime, Thriller            ",3.7,NA,Shamin Desai,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia,Aditya Pancholi,,,,,
,,,,,,,,,,,,,
Luv Shuv Tey Chicken Khurana,"
Comedy            ",6.6,$0.14M,Sameer Sharma,Kunal Kapoor,Huma Qureshi,Vinod Nagpal,Rajesh Sharma,,,,,
,,,,,,,,,,,,,
1920: Evil Returns,"
Drama, Horror, Romance            ",4.8,NA,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Irma Jämhammar,Sharad Kelkar,,,,,
,,,,,,,,,,,,,
Ata Pata Lapatta,"
Comedy, Musical            ",5.6,NA,Rajpal Yadav,Asrani,Amit Behl,Lankesh Bhardwaj,Krishna Bhatt,,,,,
,,,,,,,,,,,,,
Future to Bright Hai Ji,"
Drama            ",6.3,NA,Sanjay Amar,Aamir Bashir,Sonal Sehgal,Asrani,Brijendra Kala,,,,,
,,,,,,,,,,,,,
Jab Tak Hai Jaan,"
Drama, Romance            ",6.7,$3.05M,Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Anupam Kher,,,,,
,,,,,,,,,,,,,
Son of Sardaar,"
Action, Comedy            ",4,$0.71M,Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt,Sonakshi Sinha,,,,,
,,,,,,,,,,,,,
Talaash,"
Crime, Drama, Mystery            ",7.2,$2.71M,Reema Kagti,Aamir Khan,Kareena Kapoor,Rani Mukerji,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Khiladi 786,"
Action, Comedy            ",4.2,$0.35M,Ashish R. Mohan,Akshay Kumar,Asin,Himesh Reshammiya,Mithun Chakraborty,,,,,
,,,,,,,,,,,,,
Cigarette Ki Tarah,"
Romance, Thriller            ",4.5,NA,Akashaditya Lama,Ashok Banthia,Sudesh Berry,Yuvika Chaudhry,Prashant Narayanan,,,,,
,,,,,,,,,,,,,
Dabangg 2,"
Action, Comedy            ",4.9,$2.52M,Arbaaz Khan,Salman Khan,Sonakshi Sinha,Prakash Raj,Vinod Khanna,,,,,
,,,,,,,,,,,,,
Kahaani,"
Mystery, Thriller            ",8.1,$1.04M,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Barfi!,"
Comedy, Drama, Romance            ",8.1,$2.80M,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,,,,,
,,,,,,,,,,,,,
Gangs of Wasseypur,"
Action, Comedy, Crime            ",8.2,NA,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,,,,,
,,,,,,,,,,,,,
English Vinglish,"
Comedy, Drama, Family            ",7.8,$1.67M,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,,,,,
,,,,,,,,,,,,,
OMG: Oh My God!,"
Comedy, Drama, Fantasy            ",8.2,$0.92M,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Om Puri,,,,,
,,,,,,,,,,,,,
Life of Pi,"
Adventure, Drama, Fantasy            ",7.9,$124.99M,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,,,,,
,,,,,,,,,,,,,
Paan Singh Tomar,"
Action, Biography, Crime            ",8.2,$0.04M,Tigmanshu Dhulia,Irrfan Khan,Hemendra Dandotiya,Navneet Gairola,Mahie Gill,,,,,
,,,,,,,,,,,,,
Vicky Donor,"
Comedy, Romance            ",7.8,$0.17M,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,,,,,
,,,,,,,,,,,,,
Ishaqzaade,"
Action, Drama, Romance            ",6.5,NA,Habib Faisal,Arjun Kapoor,Parineeti Chopra,Gauhar Khan,Anil Rastogi,,,,,
,,,,,,,,,,,,,
Agneepath,"
Action, Drama            ",6.9,$1.98M,Karan Malhotra,Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,,,,,
,,,,,,,,,,,,,
Eega,"
Action, Comedy, Fantasy            ",7.8,NA,S.S. Rajamouli,J.V.V. Sathyanarayana,Sudeep,Nani,Samantha Ruth Prabhu,,,,,
,,,,,,,,,,,,,
Arjun: The Warrior Prince,"
Animation, Action, Adventure            ",6.8,$0.01M,Arnab Chaudhuri,Yudhveer Bakoliya,Ashok Banthia,Ravi Khanvilkar,Vijay Kashyap,,,,,
,,,,,,,,,,,,,
Shanghai,"
Crime, Mystery, Thriller            ",7.2,NA,Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee,Kalki Koechlin,,,,,
,,,,,,,,,,,,,
Talaash,"
Crime, Drama, Mystery            ",7.2,$2.71M,Reema Kagti,Aamir Khan,Kareena Kapoor,Rani Mukerji,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Chittagong,"
Action, Drama, War            ",7.2,NA,Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale,Vega Tamotia,,,,,
,,,,,,,,,,,,,
Jab Tak Hai Jaan,"
Drama, Romance            ",6.7,$3.05M,Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Anupam Kher,,,,,
,,,,,,,,,,,,,
Luv Shuv Tey Chicken Khurana,"
Comedy            ",6.6,$0.14M,Sameer Sharma,Kunal Kapoor,Huma Qureshi,Vinod Nagpal,Rajesh Sharma,,,,,
,,,,,,,,,,,,,
Chakravyuh,"
Action, Drama, Thriller            ",6.8,NA,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,Esha Gupta,,,,,
,,,,,,,,,,,,,
Ferrari Ki Sawaari,"
Comedy, Drama, Family            ",6.4,$0.42M,Rajesh Mapuskar,Sharman Joshi,Boman Irani,Ritvik Sahore,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Rowdy Rathore,"
Action            ",5.7,$0.78M,Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar,Yashpal Sharma,,,,,
,,,,,,,,,,,,,
Ek Tha Tiger,"
Action, Romance, Thriller            ",5.5,$2.35M,Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,Roshan Seth,,,,,
,,,,,,,,,,,,,
Bol Bachchan,"
Action, Comedy            ",5.5,$1.22M,Rohit Shetty,Amitabh Bachchan,Ajay Devgn,Abhishek Bachchan,Prachi Desai,,,,,
,,,,,,,,,,,,,
Tere Naal Love Ho Gaya,"
Comedy, Drama, Romance            ",5.8,$0.18M,Mandeep Kumar,Riteish Deshmukh,Genelia D'Souza,Om Puri,Tinnu Anand,,,,,
,,,,,,,,,,,,,
Cocktail,"
Comedy, Drama, Romance            ",6.3,$1.03M,Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Dimple Kapadia,,,,,
,,,,,,,,,,,,,
Agent Vinod,"
Action, Adventure, Thriller            ",5.1,$0.63M,Sriram Raghavan,Saif Ali Khan,Kareena Kapoor,Adil Hussain,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Housefull 2,"
Action, Comedy, Musical            ",5.2,$1.50M,Sajid Khan,Akshay Kumar,John Abraham,Asin,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
Life Ki Toh Lag Gayi,"
Comedy            ",5.5,NA,Rakesh Mehta,Kay Kay Menon,Ranvir Shorey,Pradhuman Singh,Neha Bhasin,,,,,
,,,,,,,,,,,,,
Teri Meri Kahaani,"
Comedy, Drama, Romance            ",4.7,$0.67M,Kunal Kohli,Shahid Kapoor,Priyanka Chopra,Prachi Desai,Neha Sharma,,,,,
,,,,,,,,,,,,,
Dabangg 2,"
Action, Comedy            ",4.9,$2.52M,Arbaaz Khan,Salman Khan,Sonakshi Sinha,Prakash Raj,Vinod Khanna,,,,,
,,,,,,,,,,,,,
London Paris New York,"
Romance            ",5.7,NA,Anu Menon,Ali Zafar,Aditi Rao Hydari,Candice Pereira,Scherrikar Bell,,,,,
,,,,,,,,,,,,,
Heroine,"
Drama            ",5.1,$0.59M,Madhur Bhandarkar,Kareena Kapoor,Arjun Rampal,Randeep Hooda,Shahana Goswami,,,,,
,,,,,,,,,,,,,
Son of Sardaar,"
Action, Comedy            ",4,$0.71M,Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt,Sonakshi Sinha,,,,,
,,,,,,,,,,,,,
Tezz,"
Action, Crime, Drama            ",3.9,NA,Priyadarshan,Anil Kapoor,Ajay Devgn,Mohanlal,Kangana Ranaut,,,,,
,,,,,,,,,,,,,
Raaz 3: The Third Dimension,"
Horror, Mystery, Romance            ",4,NA,Vikram Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta,Manish Chaudhary,,,,,
,,,,,,,,,,,,,
Aiyyaa,"
Comedy, Romance            ",4.3,NA,Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant,Subodh Bhave,,,,,
,,,,,,,,,,,,,
Players,"
Action, Crime, Thriller            ",4.1,NA,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vinod Khanna,Abhishek Bachchan,Bobby Deol,,,,,
,,,,,,,,,,,,,
Ekk Deewana Tha,"
Drama, Romance            ",5.9,NA,Goutham Vasudev Menon,Prateik,Amy Jackson,Sachin Khedekar,Manu Rishi Chadha,,,,,
,,,,,,,,,,,,,
Joker,"
Comedy, Family, Sci-Fi            ",2.4,$0.13M,Shirish Kunder,Akshay Kumar,Sonakshi Sinha,Shreyas Talpade,Minissha Lamba,,,,,
,,,,,,,,,,,,,
Jism 2,"
Drama, Thriller            ",3,NA,Pooja Bhatt,Randeep Hooda,Arunoday Singh,Arif Zakaria,Sunny Leone,,,,,
,,,,,,,,,,,,,
Blood Money,"
Action, Drama, Thriller            ",5.1,NA,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri,Shekar Shukla,,,,,
,,,,,,,,,,,,,
No One Killed Jessica,"
Biography, Crime, Drama            ",7.2,$0.44M,Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn,Neil Bhoopalam,,,,,
,,,,,,,,,,,,,
Impatient Vivek,"
Comedy, Drama, Romance            ",2.3,NA,Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,Ronnaoq Ahuja,Charu Asopa,,,,,
,,,,,,,,,,,,,
Yamla Pagla Deewana,"
Action, Comedy, Drama            ",5.6,$0.96M,Samir Karnik,Nafisa Ali,Yugesh Anil,Madhuri Bhattacharya,Emma Brown Garett,,,,,
,,,,,,,,,,,,,
